NE PAS TOUCHER — cette page est lue automatiquement par le CRM,,,,,,Élèves,,,,,,,,,,,,,,,,,,,,,,,
BARÈME DE CORRECTION — MATHÉMATIQUES — MDB-MATH-2027-01,,,,,,Élève 1,,Élève 2,,Élève 3,,Élève 4,,Élève 5,,Élève 6,,Élève 7,,Élève 8,,Élève 9,,Élève 10,,Élève 11,,Élève 12,
"Bac blanc de mathématiques — spécialité, sujet 1. Barème du sujet, sur 20 points : une case par étape. Le détail des réponses attendues, des réponses équivalentes et des erreurs fréquentes est dans le dossier du professeur.",,,,,,niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)"
Mode d’emploi,"Remplacer « Élève 1 », « Élève 2 »… en ligne 2 par le prénom et le nom de chaque élève, puis cocher UNE case « niveau ? » par étape. Une erreur entraînée ne se paie qu’une fois : une étape juste à partir d’un résultat faux se coche juste. Une colonne restée « Élève N » sans case cochée est ignorée à l’import. Ne rien écrire dans les colonnes A à E : c’est le barème.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTIE I — EX1 · Probabilités conditionnelles et loi binomiale,,,,5 points,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Question 1 — Compléter l'arbre pondéré,,,,"— /0,5",,,,,,,,,,,,,,,,,,,,,,,,,
"1. Premier niveau correct (0,6 et 0,4)",,,,"— /0,25",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Absent ou faux.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25","Premier niveau correct (0,6 et 0,4)",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Second niveau correct (0,05 / 0,95 et 0,12 / 0,88)",,,,"— /0,25",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Absent ou faux.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25","Second niveau correct (0,05 / 0,95 et 0,12 / 0,88)",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Question 2.a — Calculer P(F1 inter D),,,,"— /0,5",,,,,,,,,,,,,,,,,,,,,,,,,
1. Formule du produit le long d'une branche posée,,,,"— /0,25",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Absent ou faux.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25",Formule du produit le long d'une branche posée,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Résultat 0,03.",,,,"— /0,25",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Absent ou faux.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25","Résultat 0,03.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C. Question 2.b — Démontrer que P(D) = 0,078.",,,,"— /0,75",,,,,,,,,,,,,,,,,,,,,,,,,
1. Formule des probabilités totales citée ou clairement utilisée,,,,"— /0,25",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Absent ou faux.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25",Formule des probabilités totales citée ou clairement utilisée,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Second terme 0,4 x 0,12 = 0,048 calculé",,,,"— /0,25",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Absent ou faux.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25","Second terme 0,4 x 0,12 = 0,048 calculé",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. Somme conduisant à 0,078.",,,,"— /0,25",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Absent ou faux.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25","Somme conduisant à 0,078.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Question 2.c — Calculer la probabilité conditionnelle P_D(F2),,,,"— /0,75",,,,,,,,,,,,,,,,,,,,,,,,,
1. Définition de la probabilité conditionnelle posée,,,,"— /0,25",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Absent ou faux.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25",Définition de la probabilité conditionnelle posée,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Fraction irréductible 8/13.,,,,"— /0,25",,,,,,,,,,,,,,,,,,,,,,,,,
