BARÈME SYNTHÉTIQUE — ÉPREUVES ANTICIPÉES DE FRANÇAIS (VOIE GÉNÉRALE),,,
,,,
,,,
Exercice,Critère,Points,Nature de l'attendu
Commentaire,Compréhension et interprétation du texte,5,"Sens global, problématique, prise en compte du paratexte"
Commentaire,Analyse littéraire et argumentation,6,"Procédés d'écriture, citations, interprétation, progression"
Commentaire,Culture littéraire et mise en contexte,3,"Contexte de l'œuvre, mise en perspective"
Commentaire,Maîtrise de l'exercice et composition,3,"Introduction, développement, transitions, conclusion"
Commentaire,"Expression, langue et présentation",3,"Clarté, correction, lisibilité"
Commentaire,Total,20,Doit être égal à 20
Dissertation,Compréhension du sujet et problématisation,5,"Analyse des termes, problème, délimitation du sujet"
Dissertation,Argumentation et démonstration,6,"Plan, arguments, discussion, exemples"
Dissertation,Connaissance de l'œuvre et du parcours associé,3,"Œuvre au programme, parcours associé, culture littéraire"
Dissertation,Maîtrise de l'exercice et composition,3,"Introduction, développement, transitions, conclusion"
Dissertation,Expression et présentation,3,"Clarté, correction, lisibilité"
Dissertation,Total,20,Doit être égal à 20
,,,
"⚠️ IMPORTANT — L'évaluation officielle des EAF (commentaire et dissertation) est globale et utilise tout l'éventail des notes de 0 à 20.
 Les attendus officiels ne fixent pas de découpage national obligatoire des 20 points entre introduction, analyse, culture littéraire, etc.",,,
,,,
"Cette grille est une grille analytique de correction : elle permet d'homogénéiser l'évaluation entre plusieurs correcteurs sans prétendre reproduire un barème national sous-critère par sous-critère.
 La compréhension du texte ou du sujet, l'analyse, l'argumentation, la culture littéraire et la qualité de l'expression sont évaluées dans leur ensemble.",,,
,,,
,,,
"Cette grille couvre les deux sujets au choix de la voie générale (commentaire / dissertation). Pour la voie technologique (contraction de texte + essai) ou pour l'oral (explication linéaire + entretien, présentation de l'œuvre choisie),
 une grille dédiée peut être ajoutée sur demande.",,,
