NE PAS TOUCHER — cette page est lue automatiquement par le CRM,,,,,,Élèves,,,,,,,,,,,,,,,,,,,,,,,
BARÈME DE CORRECTION — ÉPREUVE ANTICIPÉE DE FRANÇAIS — VOIE GÉNÉRALE,,,,,,Élève 1,,Élève 2,,Élève 3,,Élève 4,,Élève 5,,Élève 6,,Élève 7,,Élève 8,,Élève 9,,Élève 10,,Élève 11,,Élève 12,
"Grille analytique construite à partir des attendus officiels des EAF. Le candidat choisit le commentaire OU la dissertation : cocher seulement la partie qu'il a traitée, l'autre est ignorée dans sa note. La notation officielle est globale sur 20 : les sous-critères servent à homogénéiser la correction entre correcteurs.",,,,,,niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)"
Mode d’emploi,"Remplacer « Élève 1 », « Élève 2 »… en ligne 2 par le prénom et le nom de chaque élève, puis cocher UNE case « niveau ? » par critère — celle du palier atteint. Une colonne restée « Élève N » sans case cochée est ignorée à l’import. Le commentaire est facultatif. Ne rien écrire dans les colonnes A à E : c’est le barème.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTIE I — COMMENTAIRE,,,,20 points,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Compréhension et interprétation du texte,,,,— /5,,,,,,,,,,,,,,,,,,,,,,,,,
1. Compréhension du sens global et du projet du texte,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Contresens ou sens global du texte non compris.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Sens général saisi mais projet d'écriture (visée, enjeu) resté implicite.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
