BARÈME DE CORRECTION — HGGSP TERMINALE — BACCALAURÉAT,,,,
"Grille analytique construite à partir des attendus officiels de l'épreuve HGGSP. À compter de la session 2026 : 
dissertation /10 + étude critique de document(s) /10.
 Les sous-points ci-dessous constituent une grille pédagogique de correction, et non un barème national détaillé sous-critère par sous-critère.",,,,
,,,,
PARTIE I — DISSERTATION,,,,10 points
A. Compréhension et traitement du sujet,,,,— /2
1. Analyse du sujet et problématique,,,,"— /1,5"
0,"Sujet non compris, contresens majeur ou hors-sujet.",,,
"0,5",Compréhension partielle ; termes ou bornes essentiels mal identifiés.,,,
1,Sujet correctement compris ; enjeux identifiés ; problématique pertinente mais encore générale.,,,
"1,5","Analyse précise du sujet : termes, bornes, enjeux et tensions clairement dégagés ; problématique véritablement directrice.",,,
2. Réponse au sujet,,,,"— /0,5"
0,La copie ne répond pas à la question posée ou dérive largement du sujet.,,,
"0,25",Réponse partielle ou irrégulièrement centrée sur le sujet.,,,
"0,5",Toute la démonstration est orientée vers une réponse explicite à la problématique.,,,
B. Maîtrise et sélection des connaissances,,,,"— /2,5"
1. Exactitude et précision des connaissances,,,,"— /1,5"
"0–0,5","Connaissances faibles, générales ou comportant des erreurs importantes.",,,
"0,75",Connaissances globalement correctes mais plusieurs imprécisions.,,,
1,Connaissances solides et précises sur les principaux éléments du sujet.,,,
"1,5","Connaissances très précises : dates, acteurs, lieux, concepts, événements et processus parfaitement maîtrisés.",,,
2. Sélection et pertinence des connaissances,,,,— /1
"0–0,25",Accumulation de connaissances sans rapport clair avec le sujet.,,,
"0,5",Connaissances pertinentes mais sélection encore imparfaite.,,,
"0,75",Bonne sélection ; les connaissances servent généralement la démonstration.,,,
1,"Sélection rigoureuse : chaque connaissance apporte une preuve, une explication ou une nuance utile au raisonnement.",,,
C. Construction de la démonstration,,,,— /3
1. Organisation du plan,,,,— /1
"0–0,25","Plan artificiel, déséquilibré ou peu lié au sujet.",,,
"0,5",Plan identifiable mais progression limitée ou répétitive.,,,
"0,75","Plan logique, équilibré et adapté à la problématique.",,,
1,"Plan démonstratif très pertinent : progression logique, parties complémentaires et absence de répétitions.",,,
2. Argumentation et capacités d'analyse,,,,"— /1,5"
"0–0,5",Récitation du cours ou juxtaposition d'informations ; peu d'analyse.,,,
"0,75",Arguments présents mais démonstration irrégulière.,,,
1,"Arguments clairement expliqués ; relations de causalité, comparaison ou évolution correctement analysées.",,,
"1,5","Démonstration maîtrisée : les connaissances sont hiérarchisées, expliquées et constamment mises en relation avec la problématique.",,,
3. Exemples et illustrations,,,,"— /0,5"
0,"Exemples absents, faux ou sans utilité argumentative.",,,
"0,25",Quelques exemples pertinents mais principalement descriptifs.,,,
"0,5","Exemples précis, variés, datés/localisés lorsque pertinent, et réellement exploités pour démontrer.",,,
D. Maîtrise de l'exercice,,,,"— /1,5"
1. Introduction,,,,"— /0,75"
"0–0,25","Introduction lacunaire ; enjeux, problématique ou plan insuffisants.",,,
"0,5",Introduction structurée mais incomplète ou trop générale.,,,
"0,75","Introduction maîtrisée : contextualisation utile, enjeux, problématique et annonce claire du raisonnement.",,,
2. Développement et conclusion,,,,"— /0,75"
"0–0,25",Développement difficile à suivre et/ou conclusion absente ou sans réponse.,,,
"0,5",Développement organisé et conclusion présente mais réponse partielle.,,,
"0,75",Parties et paragraphes clairement structurés ; conclusion répondant explicitement à la problématique.,,,
E. Expression et présentation,,,,— /1
1. Qualité rédactionnelle et vocabulaire disciplinaire,,,,"— /0,75"
"0–0,25",Expression souvent incorrecte ; vocabulaire imprécis.,,,
"0,5",Expression correcte mais plusieurs maladresses ou approximations.,,,
"0,75","Expression claire et précise ; vocabulaire historique, géographique et géopolitique maîtrisé.",,,
2. Lisibilité et présentation,,,,"— /0,25"
0,Copie difficilement lisible ou organisation très insuffisante.,,,
"0,25","Copie lisible, paragraphes identifiables et organisation permettant de suivre la démonstration.",,,
F. Production graphique facultative,,,,Valorisation
Principe,"Un croquis, schéma ou autre illustration pertinente peut valoriser la note lorsqu'il appuie réellement le propos. Sa réalisation n'est pas obligatoire et son absence ne peut pas pénaliser le candidat.",,,
,,,,
PARTIE II — ÉTUDE CRITIQUE DE DOCUMENT(S),,,,10 points
A. Compréhension du sujet et problématisation,,,,"— /1,5"
"0–0,5",Consigne ou problématique mal comprise ; contresens sur le sujet.,,,
"0,75",Sujet compris mais problématique faible ou trop descriptive.,,,
1,Problématique pertinente et adaptée aux documents.,,,
"1,5","Problématique précise, construite à partir du sujet, qui oriente effectivement toute l'étude critique.",,,
B. Compréhension et analyse du/des document(s),,,,"— /2,5"
1. Identification et compréhension du sens,,,,— /1
"0–0,25",Document mal compris ou contresens.,,,
"0,5",Sens général compris mais éléments importants négligés.,,,
"0,75",Sens général et informations principales correctement identifiés.,,,
1,"Compréhension fine : nature, auteur/acteur, contexte et message du document correctement appréhendés lorsque ces éléments sont disponibles.",,,
"2. Sélection, hiérarchisation et explicitation",,,,"— /1,5"
"0–0,5",Paraphrase ou simple description du document.,,,
"0,75",Informations pertinentes sélectionnées mais hiérarchisation limitée.,,,
1,"Informations correctement sélectionnées, hiérarchisées et expliquées.",,,
"1,5","Analyse précise : informations majeures isolées, mises en relation et explicitées au regard de la problématique.",,,
C. Regard critique,,,,"— /2,5"
1. Mise en contexte et portée,,,,— /1
"0–0,25",Contexte absent ou erroné.,,,
"0,5",Contexte présent mais superficiel.,,,
"0,75",Contexte pertinent permettant de mieux comprendre le document.,,,
1,"Contexte maîtrisé et utilisé pour expliquer la portée, les enjeux et/ou les limites du document.",,,
"2. Limites, biais, point de vue et portée",,,,"— /1,5"
"0–0,5",Aucun recul critique ou critique générique (« document subjectif »).,,,
"0,75",Quelques limites identifiées mais peu démontrées.,,,
1,"Point de vue, objectif, biais ou limites correctement analysés.",,,
"1,5","Véritable étude critique : le document est confronté à son contexte, son auteur, sa nature, ses objectifs, ses silences et/ou ses limites.",,,
D. Mobilisation des connaissances personnelles,,,,"— /1,5"
"0–0,25",Connaissances absentes ou hors sujet.,,,
"0,5",Quelques connaissances mais peu exploitées.,,,
1,Connaissances pertinentes permettant d'éclairer ou de nuancer le document.,,,
"1,5","Connaissances précises et bien choisies, utilisées pour compléter, contextualiser, confirmer ou relativiser le document sans le remplacer.",,,
E. Organisation et maîtrise de l'exercice,,,,— /1
"0–0,25",Réponse désorganisée ; introduction/conclusion très insuffisantes.,,,
"0,5",Organisation correcte mais transitions ou conclusion limitées.,,,
"0,75","Introduction problématisée, développement en paragraphes et conclusion répondant au sujet.",,,
1,"Organisation très claire et efficace : introduction, analyse structurée, transitions pertinentes et conclusion apportant une réponse nette.",,,
F. Expression et présentation,,,,— /1
1. Qualité rédactionnelle et vocabulaire,,,,"— /0,75"
"0–0,25",Expression difficile à comprendre ou vocabulaire très imprécis.,,,
"0,5",Expression correcte mais maladroite ou parfois imprécise.,,,
"0,75","Expression claire, précise et vocabulaire disciplinaire maîtrisé.",,,
2. Lisibilité et présentation,,,,"— /0,25"
