NE PAS TOUCHER — cette page est lue automatiquement par le CRM,,,,,,Élèves,,,,,,,,,,,,,,,,,,,,,,,
BARÈME DE CORRECTION — HGGSP TERMINALE — BACCALAURÉAT,,,,,,Élève 1,,Élève 2,,Élève 3,,Élève 4,,Élève 5,,Élève 6,,Élève 7,,Élève 8,,Élève 9,,Élève 10,,Élève 11,,Élève 12,
"Grille analytique construite à partir des attendus officiels de l'épreuve HGGSP. À compter de la session 2026 : dissertation /10 + étude critique de document(s) /10. Les sous-points constituent une grille pédagogique de correction, et non un barème national détaillé sous-critère par sous-critère.",,,,,,niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)"
Mode d’emploi,"Remplacer « Élève 1 », « Élève 2 »… en ligne 2 par le prénom et le nom de chaque élève, puis cocher UNE case « niveau ? » par critère — celle du palier atteint. Une colonne restée « Élève N » sans case cochée est ignorée à l’import. Le commentaire est facultatif. Ne rien écrire dans les colonnes A à E : c’est le barème.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTIE I — DISSERTATION,,,,10 points,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Compréhension et traitement du sujet,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
1. Analyse du sujet et problématique,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Sujet non compris, contresens majeur ou hors-sujet.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Compréhension partielle ; termes ou bornes essentiels mal identifiés.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
