,,,,,,,,
BARÈME — ÉPREUVE ANTICIPÉE DE MATHÉMATIQUES — CLASSE DE PREMIÈRE,,,,,,,,
,,,,,,,,
"Grille analytique construite à partir du cadrage officiel de la nouvelle épreuve anticipée de mathématiques (voies générale et technologique, depuis la session 2026 — décret et arrêté du 10 juin 2025). 
La notation est globale sur 20 : cette grille sert à homogénéiser la correction entre plusieurs correcteurs et ne constitue pas un barème national figé, les questions du QCM et les exercices variant à chaque sujet.",,,,,,,,
,,,,,,,,
,,,,,,,,
Cadre général de l'épreuve,,,,,,,,
"•  Épreuve écrite de 2h, coefficient 2, notée sur 20 — sans calculatrice, pour toute la durée de l'épreuve.",,,,,,,,
"•  3 sujets distincts selon le profil du candidat : voie générale avec spécialité mathématiques, voie générale sans spécialité (tronc commun / enseignement scientifique), voie technologique.",,,,,,,,
"•  Partie 1 — QCM d'automatismes : 6 points, sans justification exigée.",,,,,,,,
"•  Partie 2 — 2 à 3 exercices indépendants : 14 points, mobilisant les compétences mathématiques (chercher, modéliser, représenter, raisonner, calculer, communiquer).",,,Elèves,,,,,
,,,timothé 1,,timothé 2,,timothé 3,
Critère,Barème,Descripteur de performance,niveau ?,"commentaire 
(optionnel)",niveau ?,"commentaire 
(optionnel)",niveau ?,"commentaire 
(optionnel)"
PARTIE 1 — QCM D'AUTOMATISMES,,— /6,FALSE,,FALSE,,FALSE,
Règles de notation,,,FALSE,,FALSE,,FALSE,
,Barème par question,"6 points répartis à parts égales entre les questions du QCM (ex. 0,5 pt/question pour 12 questions, 0,75 pt/question pour 8 questions). 
Se référer au barème exact indiqué avec le sujet du bac blanc.",FALSE,,FALSE,,FALSE,
,Réponse correcte,"Points attribués intégralement, sans justification exigée.",FALSE,,FALSE,,FALSE,
,"Réponse incorrecte, incomplète ou absente",0 point. Le format officiel des EAF de mathématiques ne prévoit pas de pénalité négative.,FALSE,,FALSE,,FALSE,
,QCM à réponses multiples (si le sujet en comporte),"Le point n'est accordé que si toutes les bonnes réponses sont cochées et aucune mauvaise, sauf barème spécifique indiqué sur le sujet.",FALSE,,FALSE,,FALSE,
PARTIE 2 — EXERCICES : RAISONNEMENT ET RÉSOLUTION DE PROBLÈMES,,— /14,FALSE,,FALSE,,FALSE,
1. Chercher,— /2,,FALSE,,FALSE,,FALSE,
,"0–0,5","Aucune tentative pertinente ; élève bloqué dès le départ, données de l'énoncé non exploitées.",FALSE,,FALSE,,FALSE,
,1,Piste engagée mais démarche peu pertinente ou abandonnée rapidement.,FALSE,,FALSE,,FALSE,
,"1,5","Démarche de recherche pertinente, données de l'énoncé correctement exploitées.",FALSE,,FALSE,,FALSE,
,2,"Recherche autonome et efficace, plusieurs pistes envisagées si nécessaire, stratégie adaptée au problème.",FALSE,,FALSE,,FALSE,
2. Modéliser,— /2,,FALSE,,FALSE,,FALSE,
,"0–0,5","Situation non traduite en objet mathématique (équation, fonction, suite, schéma...).",FALSE,,FALSE,,FALSE,
,1,Modélisation amorcée mais incomplète ou partiellement erronée.,FALSE,,FALSE,,FALSE,
,"1,5",Situation correctement traduite en langage mathématique.,FALSE,,FALSE,,FALSE,
,2,"Modélisation rigoureuse et adaptée, hypothèses explicitées, cohérente avec le contexte du problème.",FALSE,,FALSE,,FALSE,
3. Représenter,— /2,,FALSE,,FALSE,,FALSE,
,"0–0,5","Représentations absentes ou erronées (graphique, tableau, figure, arbre de probabilité...).",FALSE,,FALSE,,FALSE,
,1,Représentation partiellement exploitée ou incomplète.,FALSE,,FALSE,,FALSE,
