NE PAS TOUCHER — cette page est lue automatiquement par le CRM,,,,,,Élèves,,,,,,,,,,,,,,,,,,,,,,,
BARÈME DE CORRECTION — SPÉCIALITÉ MATHÉMATIQUES — TERMINALE,,,,,,Élève 1,,Élève 2,,Élève 3,,Élève 4,,Élève 5,,Élève 6,,Élève 7,,Élève 8,,Élève 9,,Élève 10,,Élève 11,,Élève 12,
"Grille par compétences, construite à partir du cadrage officiel de l'épreuve. Elle dit COMMENT juger la copie dans son ensemble ; le barème du sujet (points par question) reste dans l'espace Direction. La notation officielle est globale sur 20.",,,,,,niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)"
Mode d’emploi,"Remplacer « Élève 1 », « Élève 2 »… en ligne 2 par le prénom et le nom de chaque élève, puis cocher UNE case « niveau ? » par critère — celle du palier atteint. Une colonne restée « Élève N » sans case cochée est ignorée à l’import. Le commentaire est facultatif. Ne rien écrire dans les colonnes A à E : c’est le barème.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTIE I — COMPÉTENCES MATHÉMATIQUES,,,,— /20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Chercher,,,,— /3,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Aucune tentative pertinente ; candidat bloqué dès le départ, aucune piste engagée.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Piste engagée mais démarche peu pertinente, abandonnée ou incomplète.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
