BARÈME DE CORRECTION — PHILOSOPHIE TERMINALE — BACCALAURÉAT,,,,
"Grille analytique construite à partir des attendus officiels de l'épreuve de philosophie. Le candidat choisit entre deux sujets de dissertation et une explication de texte.
 La notation est globale sur 20 : les sous-critères ci-dessous servent à homogénéiser la correction et ne constituent pas un barème national obligatoire.",,,,
,,,,
PARTIE I — DISSERTATION,,,,20 points
A. Problématisation et compréhension du sujet,,,,— /5
1. Analyse des termes et des notions,,,,— /2
"0–0,5",Sujet mal compris ; contresens ; notions prises dans un sens vague ou non pertinent.,,,
1,Termes principaux identifiés mais analyse encore générale ou incomplète.,,,
"1,5",Termes et notions précisément distingués ; tensions conceptuelles identifiées.,,,
2,"Analyse fine du sujet : définition des concepts, distinctions pertinentes, présupposés et enjeux clairement dégagés.",,,
2. Problématisation,,,,— /2
"0–0,5",Pas de véritable problème ; simple reformulation ou réponse immédiate.,,,
1,Questionnement présent mais tension philosophique encore faible.,,,
"1,5",Problème clairement construit à partir d'une difficulté réelle du sujet.,,,
2,"Problématisation rigoureuse : paradoxe/tension explicité, enjeux identifiés et question directrice véritablement philosophique.",,,
3. Délimitation et traitement du sujet,,,,— /1
"0–0,25",Hors-sujet ou traitement très partiel.,,,
"0,5",Sujet globalement traité mais avec des dérives ou généralisations.,,,
"0,75",Traitement constamment centré sur les termes et enjeux du sujet.,,,
1,Sujet parfaitement maîtrisé : aucune digression ; chaque étape répond à la question posée.,,,
B. Argumentation et raisonnement philosophique,,,,— /6
1. Construction de la démonstration,,,,— /2
"0–0,5","Juxtaposition d'idées, d'opinions ou de références ; absence de progression.",,,
1,Raisonnement identifiable mais transitions ou enchaînements insuffisants.,,,
"1,5",Argumentation cohérente et progressive ; chaque partie apporte une étape du raisonnement.,,,
2,"Démonstration rigoureuse : progression nécessaire, objections examinées et dépassements justifiés.",,,
2. Analyse des concepts et distinctions,,,,— /2
"0–0,5",Concepts employés sans définition ou de manière interchangeable.,,,
1,Quelques définitions et distinctions pertinentes mais inégalement exploitées.,,,
"1,5",Concepts précisément analysés ; distinctions utiles au raisonnement.,,,
