NE PAS TOUCHER — cette page est lue automatiquement par le CRM,,,,,,Élèves,,,,,,,,,,,,,,,,,,,,,,,
BARÈME DE CORRECTION — SES TERMINALE — BACCALAURÉAT,,,,,,Élève 1,,Élève 2,,Élève 3,,Élève 4,,Élève 5,,Élève 6,,Élève 7,,Élève 8,,Élève 9,,Élève 10,,Élève 11,,Élève 12,
"Grille détaillée construite à partir des attendus nationaux de l'épreuve de spécialité SES. 
Les points par sous-critère constituent une grille de correction pédagogique ; le barème officiel reste celui du sujet et de ses éléments d'évaluation nationaux.",,,,,,niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)",niveau ?,"commentaire
(optionnel)"
Mode d’emploi,"Remplacer « Élève 1 », « Élève 2 »… en ligne 2 par le prénom et le nom de chaque élève, puis cocher UNE case « niveau ? » par critère — celle du palier atteint. Une colonne restée « Élève N » sans case cochée est ignorée à l’import. Le commentaire est facultatif. Ne rien écrire dans les colonnes A à E : c’est le barème.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTIE I — DISSERTATION S'APPUYANT SUR UN DOSSIER DOCUMENTAIRE,,,,20 points,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Compréhension et traitement du sujet,,,,— /4,,,,,,,,,,,,,,,,,,,,,,,,,
1. Analyse du sujet,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Sujet non compris, contresens majeur ou hors-sujet.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Compréhension très partielle ; plusieurs termes ou dimensions essentielles du sujet sont ignorés.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Sujet globalement compris ; termes principaux identifiés mais analyse encore incomplète.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
