NE PAS TOUCHER,,,,,,Elèves,,,,,
BARÈME DE CORRECTION — SES TERMINALE — BACCALAURÉAT,,,,,,timothé 1,,timothé 2,,timothé 3,
"Grille détaillée construite à partir des attendus nationaux de l'épreuve de spécialité SES. 
Les points par sous-critère constituent une grille de correction pédagogique ; le barème officiel reste celui du sujet et de ses éléments d'évaluation nationaux.",,,,,,niveau ?,"commentaire 
(optionnel)",niveau ?,"commentaire 
(optionnel)",niveau ?,"commentaire 
(optionnel)"
,,,,,,FALSE,,FALSE,,FALSE,
PARTIE I — DISSERTATION S'APPUYANT SUR UN DOSSIER DOCUMENTAIRE,,,,20 points,,FALSE,,FALSE,,FALSE,
A. Compréhension et traitement du sujet,,,,— /4,,FALSE,,FALSE,,FALSE,
1. Analyse du sujet,,,,"— /1,5",,FALSE,,FALSE,,FALSE,
Niveau,Attendu,,,,,FALSE,,FALSE,,FALSE,
0,"Sujet non compris, contresens majeur ou hors-sujet.",,,,,FALSE,,FALSE,,FALSE,
"0,5",Compréhension très partielle ; plusieurs termes ou dimensions essentielles du sujet sont ignorés.,,,,,FALSE,,FALSE,,FALSE,
1,Sujet globalement compris ; termes principaux identifiés mais analyse encore incomplète.,,,,,FALSE,,FALSE,,FALSE,
"1,5","Analyse précise : termes définis, bornes du sujet maîtrisées, enjeux et portée clairement identifiés.",,,,,FALSE,,FALSE,,FALSE,
2. Problématique,,,,"— /1,5",,FALSE,,FALSE,,FALSE,
0,Absente ou sans rapport avec le sujet.,,,,,FALSE,,FALSE,,FALSE,
"0,5",Simple reformulation de la question.,,,,,FALSE,,FALSE,,FALSE,
1,Questionnement pertinent faisant apparaître un enjeu ou une tension.,,,,,FALSE,,FALSE,,FALSE,
"1,5","Problématique précise, pertinente et réellement directrice de la démonstration.",,,,,FALSE,,FALSE,,FALSE,
3. Réponse au sujet,,,,— /1,,FALSE,,FALSE,,FALSE,
0,Hors-sujet ou réponse très éloignée de la question.,,,,,FALSE,,FALSE,,FALSE,
"0,5",Réponse partielle ou irrégulièrement centrée sur le sujet.,,,,,FALSE,,FALSE,,FALSE,
1,Démonstration constamment centrée sur la question posée et réponse explicite.,,,,,FALSE,,FALSE,,FALSE,
B. Maîtrise des connaissances,,,,— /5,,FALSE,,FALSE,,FALSE,
1. Exactitude et maîtrise des notions,,,,— /2,,FALSE,,FALSE,,FALSE,
"0–0,5",Connaissances très faibles ou nombreuses erreurs ; notions mal définies.,,,,,FALSE,,FALSE,,FALSE,
1,Connaissances correctes mais parfois générales ou imprécises.,,,,,FALSE,,FALSE,,FALSE,
"1,5",Connaissances solides ; notions correctement définies et mécanismes globalement maîtrisés.,,,,,FALSE,,FALSE,,FALSE,
2,"Connaissances précises, nombreuses et parfaitement maîtrisées ; vocabulaire économique et sociologique rigoureux.",,,,,FALSE,,FALSE,,FALSE,
À valoriser,Définitions exactes des notions ; mécanismes explicités ; données/statistiques pertinentes ; références aux auteurs ou analyses du programme lorsque cela éclaire réellement le raisonnement.,,,,,FALSE,,FALSE,,FALSE,
2. Pertinence et richesse des connaissances,,,,— /2,,FALSE,,FALSE,,FALSE,
"0–0,5","Connaissances rares, superficielles ou peu liées au sujet.",,,,,FALSE,,FALSE,,FALSE,
1,Connaissances pertinentes mais limitées ; plusieurs dimensions du sujet restent peu exploitées.,,,,,FALSE,,FALSE,,FALSE,
"1,5","Connaissances solides, variées et bien reliées aux arguments.",,,,,FALSE,,FALSE,,FALSE,
2,"Connaissances nombreuses, précises, pertinentes et mobilisées au service de la démonstration.",,,,,FALSE,,FALSE,,FALSE,
3. Mobilisation du dossier documentaire,,,,— /1,,FALSE,,FALSE,,FALSE,
"0–0,25",Documents ignorés ou simplement cités.,,,,,FALSE,,FALSE,,FALSE,
"0,5",Documents exploités de façon partielle ; quelques données utiles.,,,,,FALSE,,FALSE,,FALSE,
"0,75",Documents correctement sélectionnés et reliés aux arguments.,,,,,FALSE,,FALSE,,FALSE,
1,"Documents exploités précisément et intelligemment ; données utilisées comme preuves, sans paraphrase.",,,,,FALSE,,FALSE,,FALSE,
C. Construction du raisonnement,,,,— /6,,FALSE,,FALSE,,FALSE,
1. Pertinence et cohérence du plan,,,,"— /1,5",,FALSE,,FALSE,,FALSE,
"0–0,5","Plan artificiel, déséquilibré ou peu lié à la problématique.",,,,,FALSE,,FALSE,,FALSE,
"0,75",Plan cohérent mais progression ou articulation imparfaite.,,,,,FALSE,,FALSE,,FALSE,
1,"Plan logique, équilibré et adapté au sujet.",,,,,FALSE,,FALSE,,FALSE,
"1,5","Plan particulièrement pertinent : progression démonstrative, parties complémentaires, aucune répétition.",,,,,FALSE,,FALSE,,FALSE,
2. Argumentation et mécanismes,,,,— /3,,FALSE,,FALSE,,FALSE,
0–1,"Juxtaposition de connaissances, affirmations peu expliquées ou récitation du cours.",,,,,FALSE,,FALSE,,FALSE,
"1,5",Raisonnement présent mais irrégulier ; certains mécanismes sont expliqués.,,,,,FALSE,,FALSE,,FALSE,
2,Argumentation claire ; mécanismes correctement explicités et reliés au sujet.,,,,,FALSE,,FALSE,,FALSE,
"2,5",Argumentation solide ; chaque idée est démontrée par une explication et une illustration pertinentes.,,,,,FALSE,,FALSE,,FALSE,
3,Démonstration maîtrisée et convaincante : idée → mécanisme → exemple/donnée → lien explicite avec le sujet.,,,,,FALSE,,FALSE,,FALSE,
3. Transitions et cohérence interne,,,,"— /1,5",,FALSE,,FALSE,,FALSE,
"0–0,5",Enchaînement difficile à suivre ; ruptures ou contradictions.,,,,,FALSE,,FALSE,,FALSE,
"0,75",Liens entre les idées présents mais parfois faibles.,,,,,FALSE,,FALSE,,FALSE,
1,Transitions logiques et démonstration globalement fluide.,,,,,FALSE,,FALSE,,FALSE,
"1,5",Progression parfaitement lisible ; chaque partie et sous-partie prépare logiquement la suivante.,,,,,FALSE,,FALSE,,FALSE,
D. Maîtrise de l'exercice,,,,— /3,,FALSE,,FALSE,,FALSE,
1. Introduction,,,,"— /1,5",,FALSE,,FALSE,,FALSE,
Attendus,Présentation/contextualisation pertinente ; définition des termes utiles ; mise en évidence de l'enjeu ; problématique ; annonce d'un plan cohérent. Une accroche spectaculaire n'est pas obligatoire.,,,,,FALSE,,FALSE,,FALSE,
"0–0,5",Introduction très lacunaire ou problématique absente/inadaptée.,,,,,FALSE,,FALSE,,FALSE,
"0,75",Introduction correcte mais incomplète.,,,,,FALSE,,FALSE,,FALSE,
1,Introduction structurée et fonctionnelle.,,,,,FALSE,,FALSE,,FALSE,
